model,deployment,cost,inputCost,outputCost,cachedCost,otherCost,calls,users,promptTokens,completionTokens,totalTokens,costPerCall,costPerUser,costPer1M
GPT-5.2,gpt-5.2,52.17968665,21.18467225,30.932272,0.0627424,0.0,322,108,843935,1618836,2462771,0.16204871630434783,0.48314524675925924,21.187388778737446
GPT-5.1,gpt-5.1,32.752023,18.976555,13.62606,0.149408,0.0,150,17,551453,539875,1091328,0.21834682,1.9265895882352941,30.01116346323012
GPT-5.4,gpt-5.4,17.309393999999998,1.537945,15.758745,0.012704,0.0,180,30,389679,966408,1356087,0.09616329999999998,0.5769797999999999,12.764220879633827
GPT-5.3 Codex,gpt-5.3-codex,2.7400275,0.0955115,2.643172,0.001344,0.0,43,13,57466,155112,212578,0.06372156976744187,0.21077134615384616,12.88951584830039
GPT-5.2 Codex,gpt-5.2-codex,1.4109557000000001,0.0655305,1.343342,0.0020832,0.0,38,11,51653,100412,152065,0.03713041315789474,0.1282687,9.278635451944893
GPT-5.4 Mini,gpt-5.4-mini,1.2550785,0.0464925,1.208106,0.00048,0.0,38,10,50289,158464,208753,0.033028381578947365,0.12550785,6.012265691990056
Kimi K2.5,Kimi-K2.5,0.3501642,0.0249222,0.325242,0.0,0.0,24,6,35118,116727,151845,0.014590174999999999,0.058360699999999995,2.3060634199348016
DeepSeek V4 Pro,DeepSeek-V4-Pro,0.21814902,0.08146506,0.13668396,0.0,0.0,24,5,36713,39277,75990,0.0090895425,0.043629804,2.870759573628109
DeepSeek V3.2 Speciale,DeepSeek-V3.2-Speciale,0.12684164,0.0207698,0.10607184,0.0,0.0,25,10,34732,60964,95696,0.0050736656,0.012684164000000001,1.3254643872262164
Grok 4.3,grok-4.3,0.0888775,0.0383,0.0505775,0.0,0.0,18,6,28939,19302,98406,0.004937638888888889,0.014812916666666667,0.9031715545800053
Mistral Large 3,Mistral-Large-3,0.055065499999999996,0.012869,0.0421965,0.0,0.0,18,7,27199,29656,56855,0.0030591944444444442,0.0078665,0.9685251956732036
Grok 4.1 Fast,grok-4-1-fast-non-reasoning,0.0358942,0.0129672,0.022927,0.0,0.0,31,11,63722,44818,108540,0.0011578774193548387,0.003263109090909091,0.33070020269025246
